time to NEB,1i,1ii,4i,4ii,,1i,1ii,2i,2ii,3i,3ii,,1i,1ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8i,8ii,9i,9ii
-2760,,,_blueDark_g,_blueDark_r,,,,_blue_,_blueDark_r,_blue_,_blueDark_g,,_blue_,_blueDark_r,,,_blue_,,_blueDark_r,_blueDark_g,_blueDark_r,_blue_,_blue_,_blueDark_r,_brownDark_r,_blueDark_r,,
-2640,,,_blue_,_blue_,,,,_blueDark_r,_brown_r,_blueDark_r,_blueDark_g,,_blueDark_r,_brownDark_r,_blueDark_r,_blue_,_blueDark_g,,_brownDark_g,_blue_,_pink_,_brownDark_r,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,,
-2520,,,_blueDark_r,_blue_,,,_blueDark_g,_blueDark_r,_blueDark_r,_blue_,_pink_,,_pink_,_brownDark_r,_blueDark_r,_brown_r,_pink_,,_brown_g,_blueDark_g,_brownDark_r,_blueDark_r,_blue_,_blue_,_brown_g,_blue_,,
-2400,,,_blueDark_r,_brown_r,,,_blueDark_g,_blueDark_r,_pink_,_blueDark_r,_blue_,,_brownDark_r,_brownDark_r,_blue_,_brown_r,_blueDark_g,_blue_,_pink_,_brown_r,_blueDark_g,_brownDark_r,_brown_r,_blueDark_r,_pink_,_pink_,,
-2280,,,_brownDark_r,_brown_r,,_brownDark_g,_brownDark_r,_blue_,_brownDark_r,_blueDark_r,_blue_,,_blueDark_r,_brownDark_r,_pink_,_brownDark_r,_blue_,_brown_r,_pink_,_blueDark_g,_brownDark_r,_brown_r,_blue_,_blueDark_r,_pink_,_pink_,,
-2160,,,_brownDark_r,_brownDark_r,,_blueDark_r,_blue_,_blue_,_blueDark_r,_blueDark_g,_blue_,,_blueDark_r,_brownDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_pink_,_blueDark_r,_brownDark_r,_brown_r,_brown_r,_blueDark_r,_blueDark_g,_blueDark_r,,
-2040,,,_blueDark_r,_brown_r,,_blueDark_r,_blueDark_g,_blueDark_r,_pink_,_blue_,_blue_,,_blueDark_r,_pink_,_blue_,_blueDark_r,_brownDark_r,_blue_,_pink_,_blue_,_blue_,_brown_r,_brown_r,_brownDark_r,_blueDark_r,_blue_,,
-1920,,,_brownDark_r,_brown_r,,_pink_,_pink_,_blue_,_blue_,_blue_,_blue_,,_brownDark_r,_brownDark_r,_pink_,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,,
-1800,,,_brownDark_r,_pink_,,_blue_,_blue_,_blueDark_r,_blue_,_pink_,_blue_,,_brownDark_r,_pink_,_brownDark_r,_brown_r,_blue_,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,_blue_,,
-1680,_brownDark_r,_brownDark_r,_blueDark_r,_pink_,,_blue_,_blueDark_r,_blueDark_r,_brownDark_r,_blueDark_g,_blue_,,_blue_,_brownDark_r,_brownDark_r,_blueDark_r,_blueDark_g,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,_pink_,_blue_,,
-1560,_blueDark_r,_blueDark_r,_brownDark_r,_pink_,,_blueDark_g,_blue_,_blueDark_r,_blue_,_blueDark_g,_brown_r,,_blueDark_g,_brownDark_r,_brownDark_r,_blue_,,_blue_,_brown_r,_blue_,_blueDark_g,_blue_,_brownDark_r,_blue_,_brownDark_r,_blue_,,
-1440,_pink_,_brownDark_r,_blueDark_r,_blueDark_g,,_blueDark_g,_blueDark_r,_blue_,_brownDark_r,_blue_,_brown_r,,_pink_,_blue_,_blueDark_r,_brownDark_r,,_blue_,_pink_,_blueDark_r,_blueDark_r,_blueDark_r,_brown_r,_blue_,_brownDark_r,_blueDark_g,,
-1320,_blueDark_g,_brownDark_r,_brownDark_r,_blueDark_g,,_blue_,_blue_,_blueDark_g,_blueDark_r,_pink_,_brownDark_r,,_brownDark_r,_blue_,_blueDark_g,_brownDark_r,,_blue_,_blueDark_r,_pink_,_blueDark_r,_blueDark_r,_brownDark_r,_blueDark_r,_blueDark_r,_blue_,,
