time to NEB,1i,1ii,2i,2ii,4i,4ii,5,6,7i,7ii,1,3,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8,3i,3ii,4i,4ii,5i,5ii,6,8,9,10,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7,8,9i,9ii,10i,10ii,10iii,11i,11ii
-5580,,,_blueDark_r,_blueDark_r,_brown_r,_blue_,,_blue_,,,,,_brownDark_r,_blue_,_blueDark_r,_blue_,,,_blue_,_blue_,,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,_blue_,_blue_
-5520,,,_brown_r,_blue_,_blueDark_r,_blue_,,_brownDark_g,,,,,_brownDark_r,_blue_,_blueDark_r,_blueDark_r,,,_blueDark_r,_blue_,,,,_blueDark_r,_brownDark_r,,,,,,,,,,,,,,,,_brownDark_r,,,,,,,,_blue_,_brown_r
-5460,,,_brownDark_r,_blue_,_blue_,_blue_,,_blueDark_g,,,,,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,,,_brownDark_r,_blue_,,,,_brown_r,_blue_,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_brown_r
-5400,,,_blueDark_r,_blue_,_blue_,_blue_,,_pink_,,,,,_blueDark_r,_blue_,_brownDark_r,_blue_,,,_blueDark_r,_pink_,,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blueDark_r,_blue_
-5340,,,_brown_r,_blue_,_blue_,_blue_,,_blue_,,,,,_blueDark_r,_brownDark_r,_blue_,_brownDark_r,,,_blueDark_r,_blue_,_blueDark_r,,,_brownDark_r,_blue_,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blue_
-5280,,,_brown_r,_blue_,_blue_,_blue_,,_pink_,,,,,_blueDark_g,_blueDark_r,_blueDark_r,_brownDark_r,,,_blue_,_brownDark_r,_blue_,,,_blueDark_r,_blueDark_r,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-5220,,,_blueDark_r,_blue_,_blue_,_blue_,,_blue_,,,,,_blue_,_blueDark_r,_blueDark_r,_brownDark_r,,,_blueDark_r,_blue_,_blue_,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_blueDark_r
-5160,,,_brown_r,_blue_,_blue_,_blue_,,_blue_,,,,,_brownDark_r,_brownDark_r,_blueDark_r,_brownDark_r,,,_blueDark_r,_blue_,_blue_,,,_brown_r,_blue_,,,,,,,,,,,,,,,,_pink_,,,,,,,,_blue_,_blueDark_r
-5100,,,_blueDark_r,_blue_,_blue_,_blue_,,_blueDark_g,,,,,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,,,_blue_,_blue_,_blue_,,,_brown_r,_blue_,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blueDark_r,_blueDark_r
-5040,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,_blueDark_g,,,,,_blue_,_blueDark_r,_brownDark_r,_blueDark_r,,,_blue_,_blueDark_r,_blue_,,,_brownDark_r,_blue_,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blueDark_r,_blue_
-4980,,,_blue_,_blue_,_blue_,_blue_,,_blue_,,,,,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,,,_blue_,_blue_,_blue_,,,_blue_,_blueDark_r,,,,,,,,,,,,,,,,_blueDark_r,,,,,,,,_blue_,_blueDark_r
-4920,,,_blueDark_r,_blue_,_blueDark_g,_blue_,,_pink_,,,,,_blue_,_brownDark_r,_blue_,_blue_,,,_blueDark_r,_brownDark_r,_blueDark_g,,,_blueDark_r,_brownDark_r,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-4860,,,_blueDark_r,_blue_,_blue_,_blue_,,_pink_,,,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,,_blue_,_blueDark_r,_blue_,,,_brownDark_r,_blue_,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blueDark_r
-4800,,,_blueDark_r,_blue_,_blueDark_r,_blue_,,_pink_,,,,,_blue_,_blueDark_r,_blueDark_r,_blueDark_r,,,_blue_,_blueDark_r,_blueDark_g,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blue_
-4740,,,_blue_,_blue_,_blue_,_blue_,,_brownDark_r,,,,,_blue_,_blueDark_r,_blueDark_r,_brownDark_r,,,_blue_,_blueDark_r,_blue_,,,_blueDark_r,_blue_,,,,,,,,,,,,,,,,_blue_,,,,,,,,_blue_,_blue_
-4680,,,_blueDark_r,_blue_,_blue_,_blue_,,_pinkDark_,,,,,_blueDark_r,_blue_,_blueDark_r,_blueDark_r,,,_blue_,_blue_,_blueDark_r,,,_blueDark_r,_blue_,,,,,,,_blue_,,,,,,,,,_blue_,,,,,,,,_blue_,_brown_r
