time to NEB,1i,1ii,1iii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,1,2i,2ii,3i,3ii,4i,4ii,5,6i,6ii,7i,7ii,8i,8ii,9i,9ii,10i,10ii,11i,11ii,1i,1ii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii,8i,8ii,9i,9ii,10i,10ii,11i,11ii
-5520,,,,,,_brownDark_r,_blue_,,,,,,_blueDark_g,_blueDark_r,_blueDark_r,_brownDark_r,,,,_blue_,_blueDark_r,_blue_,_blue_,,,_blueDark_g,_blue_,_blue_,_blue_,_brownDark_r,_blue_,,,_blue_,_pink_,_blueDark_r,_blueDark_r,,,,,,,,,,,_blueDark_r,_blueDark_r,,,_blue_,_blue_
-5460,,,,,,_blueDark_r,_blue_,,,,,,_blue_,_brownDark_r,_brownDark_r,_blueDark_r,,,,_blue_,_blueDark_r,_blueDark_g,_blue_,,,_blueDark_g,_blue_,_blue_,_blue_,_blueDark_r,_blue_,,,_blueDark_g,_brownDark_r,_blueDark_r,_blue_,,,,,,,,,,,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r
-5400,,,,,,_brownDark_r,_blueDark_g,,,,,,_blue_,_brownDark_r,_blue_,_brownDark_r,,,,_blueDark_g,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_pink_,_blue_,_blueDark_r,_blue_,,,_blue_,_blueDark_r,_brownDark_r,_blue_,,,,,,,,,,,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r
-5340,,,,,,_blueDark_r,_blue_,,,,,,_blue_,_blueDark_r,_blueDark_r,_blue_,,,,_blueDark_r,_blue_,_blue_,_blue_,,,_blue_,_blue_,_brownDark_r,_blue_,_brownDark_r,_blueDark_r,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,,,,,,,,,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r
-5280,,,,,,_blueDark_r,_blue_,,,,,,_blue_,_blueDark_r,_brownDark_r,_brownDark_r,,,,_blue_,_blue_,_pink_,_blueDark_g,,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,,,_blueDark_r,_blueDark_r,_blue_,_blue_,,,,,,,,,,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_brown_r
-5220,,,,,,_pink_,_blue_,,,,,,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,,,,_blue_,_blue_,_blue_,_blue_,,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,,,_brownDark_r,_blue_,_blueDark_r,_blue_,,,,,,,,,,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_r
-5160,,,,,,_blueDark_r,_blue_,,,,,,_blue_,_blueDark_r,_blue_,_blue_,,,,_blue_,_blue_,_blue_,_blue_,,,_blueDark_r,_blue_,_blueDark_r,_blueDark_g,_blueDark_r,_blue_,,,_blue_,_blue_,_blue_,_blue_,,,,,,,,,,,_blueDark_r,_blue_,_blue_,_blue_,_blueDark_r,_brown_r
-5100,,,,,,_brownDark_r,_blue_,,,,,,_blueDark_r,_blue_,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blue_,,,_blue_,_blue_,_blueDark_r,_blue_,,,,,,,,,,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_
-5040,,,,,,_blueDark_r,_blue_,,,,,,_blueDark_g,_blue_,_brownDark_r,_blueDark_r,,,,_blue_,_blueDark_r,_blue_,_blue_,,,_blueDark_r,_blue_,_brownDark_r,_blue_,_blueDark_r,_blue_,,,_blueDark_g,_blue_,_blue_,_blue_,,,,,,,,,,,_blueDark_r,_blueDark_g,_blue_,_blue_,_blue_,_brown_r
-4980,,,,,,_brownDark_r,_brownDark_r,,,,,,_pink_,_blueDark_r,_brownDark_r,_blueDark_r,,,,_blueDark_g,_blue_,_blue_,_blue_,,,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blueDark_r,,,_blue_,_blue_,_blueDark_r,_blue_,,,,,,,,,,,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blueDark_r
