time to NEB,1,2i,2ii,3i,3ii,4,5i,5ii,2,4,5i,5ii,6,7i,7ii,2i,2ii,3i,3ii,4i,4ii,5i,5ii,6i,6ii,7i,7ii
-3480,_blueDark_r,_brownDark_r,_brownDark_r,,,_pink_,_blue_,_brownDark_r,_brownDark_r,_pink_,,,_blueDark_r,_blueDark_r,_blue_,,,,,_blueDark_g,_blueDark_r,_brownDark_r,_blue_,,,_blue_,_pink_
-3420,_blueDark_r,_blueDark_r,_brownDark_r,,,_blue_,_blue_,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_blue_,,,,,_blue_,_blue_,_brownDark_r,_blue_,,,_blueDark_r,_pink_
-3360,_blue_,_blue_,_blueDark_r,,,_blueDark_g,_blue_,_brownDark_r,_blue_,_pink_,,,_blue_,_blueDark_r,_blue_,,,,,_brown_r,_blue_,_pink_,_blue_,,,_blue_,_pinkDark_
-3300,_blue_,_blue_,_blueDark_r,,,_pinkDark_,_blue_,_blueDark_r,_blue_,_blue_,,,_blueDark_r,_blue_,_blueDark_g,,,,,_brownDark_r,_blue_,_brownDark_r,_blue_,,,_blue_,_brownDark_r
-3240,_blueDark_r,_blue_,_brownDark_r,,,_blueDark_r,_blue_,_blueDark_r,_pink_,_blue_,,,_blue_,_blueDark_r,_blueDark_g,,,,,_blueDark_r,_blue_,_brownDark_r,_blue_,,,_blueDark_r,_pink_
-3180,_blueDark_r,_blue_,_blueDark_r,,,_blueDark_g,_blueDark_r,_blueDark_r,_blue_,_blue_,,,_blue_,_blueDark_r,_blueDark_g,,,,,_blueDark_r,_blue_,_brownDark_r,_blue_,,,_pink_,_brownDark_r
-3120,_blueDark_r,_blueDark_r,_blueDark_r,,,_blueDark_r,_blue_,_pink_,_blueDark_g,_blue_,,,_blue_,_brownDark_r,_blue_,,,,,_blue_,_blueDark_r,_brownDark_r,_blue_,,,_blue_,_pink_
-3060,_brownDark_r,_blueDark_r,_brownDark_r,,,,_blueDark_r,_blueDark_r,_pink_,_blue_,,,_blue_,_blueDark_r,_blueDark_g,,,,,_brown_r,_blue_,_brownDark_r,_blue_,,,_blue_,_blueDark_r
-3000,_blueDark_r,_blueDark_r,_brownDark_r,,,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,,,_blueDark_g,_blue_,_brownDark_g,,,,,_blue_,_blue_,_pink_,_blue_,,,_blue_,_blueDark_r
-2940,_brownDark_r,_brownDark_r,_brownDark_r,,,_blue_,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,,,_blue_,_blue_,_brownDark_g,,,,,_blue_,_blue_,_brownDark_r,_blue_,,,_blue_,_blue_
-2880,_brownDark_r,_blue_,_brownDark_r,,,_blueDark_g,_blueDark_r,_blueDark_r,_brownDark_g,_pink_,,,_blue_,_pink_,_brownDark_g,,,,,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,,,_blue_,_pink_
-2820,_pink_,_blue_,_brownDark_r,,,_pink_,_blue_,_blue_,_blue_,_pink_,,,_blue_,_blueDark_r,_blue_,,,,,_blue_,_blue_,_brownDark_r,_blueDark_r,,,_pink_,
-2760,_pink_,_blueDark_r,_brownDark_r,_blueDark_r,_blueDark_g,_blueDark_r,_blueDark_r,_blue_,_blue_,_pink_,,,_blueDark_r,_blue_,_blueDark_g,,,,,_blue_,_blue_,_brownDark_r,_blue_,,,_blue_,_blue_
-2700,_pink_,_brownDark_r,_brownDark_r,_blue_,_blueDark_r,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,_blueDark_g,,,_brown_r,_brownDark_r,_brownDark_g,,,,,_blue_,_blue_,_brownDark_r,_blue_,,,_blueDark_g,_brownDark_r
-2640,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,_blueDark_g,_brownDark_r,_blue_,_blueDark_r,_pink_,,,,_blue_,_blueDark_r,_pink_,,,,,_blue_,_blue_,_brownDark_r,_blue_,,,_brownDark_r,_pink_
-2580,_brownDark_r,_blueDark_r,_blue_,_blue_,_pink_,_blue_,_blue_,_blueDark_r,_pink_,_blueDark_r,,,_blueDark_r,_brownDark_r,_blue_,,,,,_blueDark_g,_blue_,_brownDark_r,_blueDark_g,,,_blue_,_pink_
-2520,_pink_,_blueDark_r,_blue_,_blue_,_pink_,_pink_,_blueDark_r,_blue_,_blueDark_r,_pink_,,,_brownDark_r,_blueDark_r,_blue_,,,,,_blueDark_r,_blue_,_brownDark_r,_brownDark_g,,,_blue_,_blueDark_g
-2460,_brownDark_r,_blue_,_brownDark_r,_blue_,_pink_,_blueDark_r,_blue_,_blueDark_r,_blue_,_blue_,,,_blue_,_blue_,_brownDark_r,,,,,_blueDark_r,_blueDark_r,_pink_,_blue_,,,_pink_,_pink_
-2400,_brownDark_r,_blueDark_r,_blueDark_r,_blue_,_pink_,_pink_,_brownDark_r,_blue_,_pinkDark_,_pink_,,,_blueDark_r,_blue_,_pink_,_blueDark_r,_brownDark_r,,,_brown_r,_blueDark_r,_pink_,_blueDark_g,,,_blue_,_pink_
-2340,_pink_,_blueDark_r,_blue_,_blueDark_r,_pink_,_pink_,_blueDark_r,_blue_,_brownDark_r,_blue_,,,_blue_,_brownDark_r,_pink_,_pink_,_brownDark_r,,,_brownDark_r,_blue_,_brownDark_r,_pink_,,,_blue_,_blue_
