time to NEB,1,4,5i,5ii,6i,6ii,7i,7ii,8,2,3,4i,4ii,2i,2ii,3,4i,4ii,6i,6ii,10,1i,1ii,2i,2ii,5i,5ii,6,7,8i,8ii,11i,11ii,12,13i,13ii,14i,14ii,15i,15ii
-5100,,,,,_blue_,_blue_,,,_blue_,,,_blueDark_r,_blueDark_r,,,,,,_blueDark_r,_blue_,,,,,,,,_blue_,,_blue_,_blueDark_r,_blueDark_r,_brownDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-5040,,,,,_blue_,_blueDark_g,,,_blue_,,,_blue_,_blue_,,,,,,_blueDark_r,_blue_,,,,,,,,_blue_,,_blueDark_g,_blueDark_r,_brown_r,_blueDark_r,,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blueDark_g
-4980,,,,,_blue_,_blue_,,,_blue_,,,_blue_,_blueDark_r,,,,,,_blue_,_blue_,,,,,,,,_blue_,,_blueDark_g,_blue_,_brownDark_r,_brownDark_r,,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-4920,,,,,_blue_,_blue_,,,_blue_,,,_blue_,_blue_,,,,,,_blue_,_blueDark_r,,,,,,,,_blueDark_r,,_blue_,_blue_,_blueDark_r,_blueDark_r,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-4860,,,,,_blue_,_pink_,,,_blue_,,,_blue_,_blue_,,,,,,_blue_,_blueDark_r,,,,,,,,_blue_,,_blue_,_blueDark_r,_blueDark_r,_brownDark_r,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
-4800,,,,,_blue_,_blueDark_g,,,_blue_,,,_blue_,_blue_,,,,,,_blue_,_blue_,,,,,,,,_blue_,,_blue_,_blue_,_blueDark_r,_blueDark_r,,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-4740,,,,,_blue_,_blue_,,,_blue_,,,_blueDark_r,_brownDark_r,,,,,,_blue_,_blue_,,,,,,,,_blue_,,_blue_,_blue_,_blueDark_r,_blueDark_r,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
-4680,,,,,_blue_,_brownDark_r,,,_brownDark_r,,,_blue_,_blue_,,,,,,_blue_,_blue_,,,,,,,,_blue_,,_blue_,_blue_,_brown_r,_blue_,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
-4620,,,,,_blue_,_blueDark_g,,,_blueDark_r,,,_blueDark_r,_blue_,,,,,,_blue_,_blueDark_r,,,,,,,,_blue_,,_blue_,_blue_,_brown_r,_brown_r,,_blueDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blue_
-4560,,,,,_blue_,_pink_,,,_blue_,,,_blue_,_brownDark_r,,,,,,_blue_,_brownDark_r,,,,,,,,_blue_,,_blue_,_blue_,_brownDark_r,_blueDark_r,,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_
-4500,,,,,_blue_,_blue_,,,_blueDark_r,,,_blue_,_blueDark_g,,,,,,_blue_,_blueDark_r,,,,,,,,_blue_,,_brownDark_r,_blue_,_brownDark_r,_brownDark_r,,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r
-4440,,,,,_blueDark_r,_blue_,,,_blue_,,,_blueDark_r,_blue_,,,,,,_blue_,_blueDark_r,,,,,,,,_blue_,,_brownDark_r,_blue_,_blue_,_blue_,,_blueDark_r,_blueDark_r,_blue_,_blue_,_blueDark_g,_blueDark_r
-4380,,,,,_blueDark_r,_blueDark_g,,,_blue_,,,_blueDark_r,_blue_,,,,,,_blue_,_blueDark_r,,,,,,,,_blue_,,_blueDark_r,_pink_,_blueDark_r,_blue_,,_blue_,_blueDark_r,_blueDark_r,_blue_,_blue_,_blue_
-4320,,,,,_blue_,_blue_,,,_blue_,,,_blueDark_r,_blue_,,,,,,_brown_g,_blue_,,,,,,,,_blue_,,_blueDark_r,_blue_,_brownDark_r,_blue_,,_blue_,_blueDark_r,_blue_,_blue_,_blue_,_blue_
-4260,,,,,_blue_,_blue_,,,_pink_,,,_blue_,_brownDark_r,,,,,,_brownDark_g,_blue_,,,,,,,,_blue_,,_blueDark_r,_blue_,_blueDark_r,_blue_,,_blueDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-4200,,,,,_blue_,_blue_,,,_blueDark_r,,,_blueDark_r,_blue_,,,,,,_pink_,_blue_,,,,,,,,_blue_,,_blue_,_blue_,_blue_,_blue_,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_
-4140,,,,,_blue_,_blueDark_r,,,_blueDark_r,,,_blue_,_blueDark_r,_brownDark_r,_brownDark_r,,,,_blueDark_r,_blue_,,,,,,,,_blueDark_r,,_blue_,_blueDark_g,_blue_,_brown_r,,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blue_
-4080,,,,,_blue_,_blueDark_r,,,_blue_,,,_blue_,_blue_,_brownDark_r,_blueDark_r,,,,_brownDark_g,_blue_,,,,,,,,_pink_,,_blueDark_r,_blue_,_blue_,_blueDark_r,,_brown_r,_blue_,_blueDark_r,_blue_,_blue_,_blueDark_r
-4020,,,,,_blue_,_blue_,,,_blueDark_r,,,_blue_,_blue_,_brownDark_r,_brownDark_r,,,,_brownDark_g,_blue_,,,,,,,,_pink_,,_blueDark_r,_blue_,_brownDark_r,_blue_,,_brownDark_r,_blueDark_r,_blue_,_blue_,_blue_,
-3960,,,,,_blue_,_blue_,,,_brownDark_r,,,_blue_,_blue_,_brownDark_r,_blueDark_r,,,,_blue_,_blue_,,,,,,,,_pink_,,_blueDark_r,_blue_,_pink_,_blue_,,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blueDark_r
