time to NEB,1i,1ii,2i,2ii,4i,4ii,5i,5ii,6,7i,7ii,8i,8ii,9,1i,1ii,2,3i,3ii,4i,4ii,5i,5ii,6,7i,7ii,8,9i,9ii,11i,11ii,13i,13ii,14i,14ii,1,2
-3900,,,,,_brown_r,_brown_g,_blue_,_blue_,,,,_blueDark_g,_blue_,_blue_,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,,,,_brownDark_r,_blue_,_brown_r,,,_blue_,_blue_,_blueDark_g,_brownDark_r,,,,
-3840,,,,,_brown_r,_pink_,_blueDark_g,_blueDark_r,,,_brownDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,,,,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,_brown_r,,,_blueDark_r,_blue_,_blue_,_blue_,,,,
-3780,,,,,_brownDark_r,_blueDark_r,_pink_,_blue_,,,_brownDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_blueDark_g,,,,_blue_,_blue_,,,,_blueDark_r,_blue_,_brown_r,,,_blueDark_r,_blue_,_blue_,_blue_,,,,
-3720,,,,,_brown_r,_blueDark_r,_blueDark_r,_blueDark_g,,,,_blue_,_blue_,_blueDark_r,_brownDark_r,_blue_,,,,_blue_,_blue_,,,,_blueDark_r,_blue_,_brownDark_r,,,_blueDark_r,_blue_,_blue_,_blueDark_r,,,,
-3660,,,,,_brownDark_r,_brownDark_r,_blueDark_r,_blue_,,,,_blue_,_blue_,_blue_,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,,,,_blue_,_blue_,_brownDark_r,,,_blue_,_blue_,_blue_,_blue_,,,,
-3600,,,,,_brownDark_r,_brownDark_r,_brownDark_r,_blue_,,,,_blue_,_blue_,_blueDark_r,_blueDark_r,_blue_,,,,_blue_,_blue_,,,,_blueDark_r,_blue_,_brown_r,,,_pink_,_blue_,_blue_,_blue_,,,,
-3540,,,,,_brownDark_r,_brownDark_r,_blue_,_blue_,,,,_blue_,_blue_,_brownDark_r,_blue_,_brownDark_r,,,,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,_brown_r,,,_blue_,_blueDark_r,_blue_,_blueDark_r,,,,
-3480,,,,,_brownDark_r,_blueDark_r,_brownDark_r,_blue_,,,,_blue_,_blue_,_brownDark_r,_blueDark_g,_blue_,,,,_blue_,_brown_r,,,_blue_,_brownDark_r,_brownDark_r,_brown_r,,,_blue_,_blue_,_blue_,_blueDark_r,,,,
-3420,,,,,_blue_,_brownDark_r,_brownDark_r,_blueDark_r,,,,_blue_,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,,,,_blue_,_blueDark_r,,,_pink_,_brownDark_r,_blue_,_brown_r,,,_blueDark_r,_blue_,_blue_,_brownDark_r,,,,
-3360,,,,,_brownDark_r,_blueDark_r,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,_blue_,_blue_,_blue_,,,,_blue_,_blue_,,,_brownDark_r,_pink_,_brownDark_r,_blueDark_r,,,_blue_,_blue_,_blue_,_blueDark_r,,,,
-3300,,,,,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,,,,_blue_,_brownDark_r,_blue_,_blue_,_blue_,,,,_blueDark_r,_blue_,,,_pink_,_blueDark_r,_blue_,_brownDark_r,,,_blue_,_blue_,_blue_,_blue_,,,,
-3240,,,,,_blueDark_r,_blue_,_brownDark_r,_blue_,,,,_blue_,_brownDark_r,_blueDark_r,_blue_,_blue_,,,,_blue_,_blue_,,,_blue_,_brownDark_r,_blueDark_r,_pink_,,,_blue_,_blue_,_blue_,_blue_,,_blue_,,
-3180,,,,,_blueDark_r,_brownDark_r,_blueDark_r,_blueDark_r,,,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,,,,_blueDark_r,_blue_,,,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,,,_blue_,_blue_,_blue_,_blue_,,_blue_,,
-3120,,,,,_blue_,_blueDark_r,_blue_,_blue_,,,,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_g,,,,_blue_,_blue_,,,_brownDark_r,_pink_,_blue_,_blueDark_g,,,_blue_,_blue_,_blueDark_r,_blue_,,_blue_,,
-3060,,,,,_blueDark_r,_blueDark_r,_blueDark_r,_blueDark_r,,,,_blue_,_brownDark_r,_brownDark_r,_blue_,_blueDark_r,,,,_blueDark_r,_blue_,,,_blue_,_brownDark_r,_blue_,_blueDark_r,,,_blueDark_r,_blueDark_r,_blue_,_brownDark_r,_blue_,_brownDark_r,,
