time to NEB,1i,1ii,1,2,3,1i,1ii,2,3i,3ii,1,2,3,5i,5ii,6i,6ii,1i,1,3,4,5i,1,2i,2ii,4i,4ii,5i,5ii,6i,6ii,1i,1ii,2,3,4,5i,5ii,1,3i,3ii,4,5i,5ii,1i,1ii,3i,3ii,4i,4ii,5i,5ii,6ii,7i,7ii,,
-5880,_blue_,_blueDark_r,_pink_,,,,,_brown_g,,,,,,,,_blueDark_r,_blueDark_r,_pinkDark_,,,,,,,,,,_blue_,_blue_,,_blueDark_r,,,,,,_pinkDark_,_blue_,_blueDark_r,,,,_blueDark_r,_blue_,,,,,,,,,,,,,
-5820,_blue_,_pink_,_blue_,,,,,_brown_g,,,,,,,,_blue_,_brownDark_r,_blueDark_r,,,,,,,,,,_blue_,_blue_,_blueDark_r,_brownDark_r,,,,,,_blue_,_blue_,_brownDark_r,,,,_blueDark_r,_blue_,,,,,,,,,,,,,
-5760,_brownDark_r,_blueDark_r,_blueDark_r,,,,,_pink_,,,,,,,,_blue_,_blueDark_r,_pink_,,,,,,,,,,_blue_,_blue_,_blue_,_brownDark_r,,,,,,_blueDark_g,_blueDark_r,_brownDark_r,,,,_brown_r,_blue_,,,,,,,,,,,,,
-5700,_brownDark_r,_brown_r,_pink_,,,,,_brown_g,,,,,,,,_blue_,_blueDark_r,_pinkDark_,,,,,,,,,,_blue_,_blue_,_brownDark_r,_blueDark_r,,,,,,_blue_,_blueDark_r,_pink_,,,,_brownDark_r,_blue_,,,,,,,,,,_brownDark_r,_blueDark_r,,
-5640,_blueDark_r,_brown_r,_brown_r,,,,,_pinkDark_,,,,,,,,_blueDark_r,_blue_,_blueDark_r,,,,,,,,,,_blue_,_blue_,_brownDark_r,_blueDark_r,,,,,,_blue_,_blue_,_pink_,,,,_blueDark_r,_blue_,,,,,,,,,,_brownDark_r,_blueDark_r,,
-5580,_blueDark_r,_blue_,_blueDark_r,,,,,_pink_,,,,,,,,_brownDark_r,_blue_,_brownDark_r,,,,,,,,,,_blue_,_blue_,,_brownDark_r,,,,,,_blue_,_blue_,_blue_,,,,_blueDark_r,_blue_,,,,,,,,,,_blueDark_r,_blueDark_r,,
-5520,_blue_,_blue_,_pink_,,,,,_pink_,,,,,,,,_blue_,_pink_,_blueDark_r,,,,,,,,,,_blue_,_blue_,,_blue_,,,,,,_blue_,_blue_,_blue_,,,,_brown_r,_blueDark_r,,,,,,,,,,_blue_,_blue_,,
-5460,_brownDark_r,_blue_,_blue_,,,,,_pinkDark_,,,,,,,,_blue_,_brownDark_r,_blue_,,,,,,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blue_,,_blue_,,,,,,_blueDark_r,_blueDark_r,_blue_,,,,_blueDark_r,_blueDark_g,,,,,,,,,,_blueDark_r,_blueDark_g,,
-5400,_brownDark_r,_brown_r,_blueDark_r,,,,,_pink_,,,,,,,,_blue_,_brownDark_r,_blue_,,,,,,_blue_,_blue_,_blue_,_blue_,_blue_,_blue_,,_blueDark_r,,,,,,_blueDark_r,_blue_,_blueDark_r,,,,_brownDark_r,_blueDark_g,,,,,,,,,_blueDark_g,_blueDark_r,_pink_,,
-5340,_pink_,_brown_r,_blue_,,,,,_brownDark_r,,,,,,,,_blue_,_brownDark_r,_blue_,,,,,,_blue_,_blue_,_blueDark_r,_blue_,_blue_,_blue_,,_blueDark_r,,,,,,_blue_,_blueDark_r,_blue_,,,,_blueDark_r,_blue_,,,,,,,,,_blueDark_g,_brownDark_r,_pink_,,
-5280,_blueDark_r,_brownDark_r,_brown_r,,,,,_blueDark_r,_blueDark_r,_brownDark_r,,,,,,_blue_,_blueDark_r,_blue_,,,,,,_blue_,_blue_,_brown_r,_brownDark_r,_blueDark_r,_blue_,,_blue_,,,,,,_blueDark_r,_blue_,_blue_,,,,_blueDark_r,_blue_,,,,,,,,,_brown_g,_pink_,_blueDark_r,,
-5220,_brownDark_r,_blueDark_r,_brown_r,,,,,_pink_,_blue_,_blueDark_r,,,,,,_blueDark_g,_brownDark_r,_blue_,,,,,,,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_brownDark_r,_blue_,,,,,,_blue_,_blue_,_blue_,,,,_blue_,_blueDark_r,,,,,,,,,_blueDark_g,_blue_,_blue_,,
-5160,_brown_r,_blueDark_r,_blueDark_r,,,,,_pink_,_blueDark_r,_blue_,,,,,,_blue_,_blue_,_blue_,,,,,,,_blue_,_brown_r,_brownDark_r,_blueDark_r,_blue_,_blueDark_r,_blue_,,,,,,_blueDark_g,_blue_,_blue_,,,,_blue_,_blueDark_r,,,,,,,,,_blueDark_r,_blue_,_blue_,,
-5100,_brown_r,_blue_,_blueDark_r,,,,,_blue_,_blue_,_blueDark_r,,,,,,_blue_,_blueDark_r,_blueDark_g,,,,,,,_blueDark_r,_brownDark_r,_brownDark_r,_blue_,_blue_,_blue_,_blue_,,,,,,_blueDark_g,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,,,,,,,,,_blue_,_blue_,_pink_,,
-5040,_blueDark_r,_blueDark_r,_brownDark_r,,,,,_brownDark_r,_blueDark_r,_blueDark_r,,,,,,_blue_,_blueDark_r,_blue_,,,,,,,_brownDark_r,_brown_r,_brownDark_r,_blue_,_blue_,_blue_,_brownDark_r,,,,,,_blue_,_blue_,_blue_,,,,_brownDark_r,_blue_,,,,,,,,,_pink_,_blue_,_blueDark_r,,
-4980,_blueDark_r,,_blueDark_g,,,,,_pink_,_blueDark_r,_brown_r,,,,,,_blue_,_blueDark_r,_brownDark_r,,,,,,,_brownDark_r,_brownDark_r,_brownDark_r,_blue_,_blue_,,_blueDark_r,,,,,,_blueDark_g,_blue_,_blue_,,,,_brownDark_r,_blue_,,,,,,,,,_blueDark_g,_blue_,_blueDark_g,,
-4920,_blue_,,_pink_,,,,,_blueDark_r,_blue_,_blueDark_r,,,,,,_blueDark_r,_blue_,_pink_,,,,,,,_brownDark_r,_blueDark_r,,_blue_,_blue_,_brownDark_r,_blue_,,,,,,_blueDark_g,_blue_,_blue_,,,,_pink_,_blue_,,,,,,,_blueDark_r,_blueDark_r,_blueDark_g,_blueDark_r,_pink_,,
-4860,_blue_,,_brownDark_r,,,,,_pink_,_blue_,_blueDark_r,,,,,,_blueDark_r,_blueDark_r,_blue_,,,,,,,_blue_,_blue_,,_blue_,_blue_,_brownDark_r,_blueDark_r,,,,,,_blue_,_blue_,_blue_,,,,_blue_,_blue_,,,,,,,_brownDark_r,_blue_,_blue_,_blueDark_r,_pink_,,
-4800,_blue_,,_pink_,,,,,_pink_,_blue_,_blueDark_r,,,,,,_brownDark_r,_blue_,,,,,,,,_blue_,_blueDark_r,,_blueDark_r,_blue_,_blueDark_r,_blue_,,,,,,_blueDark_g,_blueDark_r,_blue_,,,,_blueDark_r,_blue_,,,,,,,_brownDark_r,_blue_,_blue_,_blueDark_r,_blue_,,
-4740,_brownDark_r,,_blueDark_r,,,,,_pink_,_blue_,_brownDark_r,,,,,,_brownDark_r,_brown_r,_pink_,,,,,,,_blue_,_blueDark_r,,_blue_,_blueDark_r,_blue_,_blue_,,,,,,_brownDark_g,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,,,,,,,_blue_,_brownDark_r,_brown_r,_blueDark_r,_blue_,,
-4680,_brownDark_r,,_pink_,,,,,_pinkDark_,_blue_,_blueDark_r,,,,,,_brownDark_r,_blueDark_r,_blueDark_g,,,,,,,_blue_,_brownDark_r,,_blue_,_blue_,_blue_,_blue_,,,,,,_blueDark_g,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,,,,,,,_blue_,_brownDark_r,_brown_r,_blueDark_r,_blue_,,
-4620,_blueDark_r,,_blueDark_r,,,,,_pink_,_blueDark_r,_blue_,,,,,,_brownDark_r,_blue_,_blueDark_g,,,,,,,_blue_,_blueDark_r,,_blueDark_r,_blue_,_blue_,_blueDark_r,,,,,,_blue_,_brownDark_r,_blue_,,,,_brownDark_r,_blue_,,,,,,,_blueDark_r,_brownDark_r,_brownDark_r,_blue_,_blue_,,
-4560,_blue_,,_pink_,,,,,_brownDark_g,_blue_,_brownDark_r,,,,,,_brownDark_r,_blue_,_blue_,,,,,,,_brownDark_r,_blue_,,_brownDark_r,_blue_,_blueDark_r,_blue_,,,,,,_blue_,_blue_,_blue_,,,,_blueDark_r,_blueDark_r,,,,,,,_blue_,_blueDark_r,_brown_r,_blue_,_blue_,,
-4500,_blue_,,_pinkDark_,,,,,_pink_,_brownDark_r,_brownDark_r,,,,,,_blueDark_r,_blue_,_blueDark_r,,,,,,,_brownDark_r,_blueDark_r,,_brownDark_r,_blue_,_blue_,_blue_,,,,,,_blue_,_blue_,_blueDark_r,,,,,_blueDark_r,,,,,,,_brownDark_r,_blueDark_r,_blueDark_r,_blue_,_blue_,,
-4440,_blueDark_r,,_blueDark_r,,,,,_pink_,_brownDark_r,_brownDark_r,,,,,,_blue_,_blue_,_blue_,,,,,,,_brownDark_r,_blueDark_r,,_blue_,_blue_,_blueDark_g,_blue_,,,,,,_blue_,_blueDark_r,_brownDark_r,,,,,_blue_,,,,,,,_brownDark_r,_brownDark_r,_blueDark_r,_blue_,_blue_,,
-4380,_blue_,,_blueDark_r,,,,,_pink_,_brownDark_r,_blueDark_r,,,,,,_blue_,_blue_,_pink_,,,,,,,_blueDark_r,_blue_,,_blue_,_blue_,_blue_,_blue_,_blue_,_blueDark_r,,,,_blue_,_blueDark_r,_brownDark_r,,,,_blueDark_r,_blueDark_r,,,,,,,_brownDark_r,_brownDark_r,_blue_,_blue_,_blue_,,
-4320,_blueDark_r,,_pink_,,,,,_blueDark_r,_blueDark_r,_blue_,,,,,,_blue_,_blueDark_r,_blue_,,,,,,,_pink_,_blue_,,_brownDark_r,_blue_,_blue_,_blue_,_brown_r,_brownDark_r,,,,_blue_,_brownDark_r,_brownDark_r,,,,_brownDark_r,_blue_,,,,,,,_brown_r,_blueDark_r,_blue_,_blue_,_blueDark_r,,
-4260,_blue_,,_blueDark_g,,,,,_brown_r,_blueDark_r,_blue_,,,,,,_blue_,_blue_,_blue_,,,,,,,_brown_r,_blue_,,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,_brown_r,_blueDark_r,,,,_blue_,_brownDark_r,_brownDark_r,,,,_brown_r,_blue_,,,,,,,_brownDark_r,_blue_,_blue_,_blueDark_r,_blue_,,
-4200,_blueDark_r,,_pink_,,,,,_brownDark_r,_pink_,_blue_,,,,,,_blue_,_blue_,_blue_,,,,,,,_pink_,_blue_,,_brownDark_r,_blue_,_brownDark_r,_blue_,_pink_,_brownDark_r,,,,_blue_,_blueDark_r,_brownDark_r,,,,_brownDark_r,_blue_,,,,,,,_brown_r,_blueDark_r,_pink_,_blue_,_blue_,,
-4140,_blueDark_r,,_blueDark_r,,,,,_brownDark_r,_blueDark_r,_blue_,,,,,,_brown_r,_blue_,_blueDark_r,,,,_brownDark_g,,,_pink_,_blueDark_r,,_brownDark_r,_blue_,_brownDark_r,_blue_,_blueDark_r,_brownDark_r,,,,_blueDark_r,_blueDark_r,_brownDark_r,,,_brownDark_r,_brownDark_r,_blue_,,,,,,,_blue_,_blueDark_r,_blue_,_blue_,_blue_,,
-4080,_blueDark_r,,_pink_,,,,,_brownDark_r,_brownDark_r,_blue_,,,,,,_brown_r,_blueDark_r,_blue_,,,,_blue_,,,_blue_,_blueDark_r,,_blue_,_blue_,_blueDark_r,_blueDark_r,_blueDark_r,_blueDark_r,,,,_blueDark_r,_brownDark_r,_brownDark_r,,,_brownDark_r,_blue_,_blue_,,,,,,,_blue_,_blueDark_r,_brownDark_g,_blue_,_blue_,,
-4020,_brownDark_r,,_blueDark_r,,,,,_pinkDark_,_blueDark_r,_blueDark_r,,,,,,_blueDark_r,_blue_,,,,,_brownDark_g,,,_blue_,_blue_,,_blue_,_blueDark_r,_blueDark_r,_blue_,_blueDark_r,_brownDark_r,,,,_blue_,_blueDark_r,_brownDark_r,,,_pink_,_blueDark_r,_blue_,,,,,,,_blue_,_blueDark_r,_brownDark_g,_blue_,_blue_,,
-3960,_brownDark_r,,_blueDark_r,,,,,_pink_,_blueDark_r,_blue_,,,,,,_blue_,_brownDark_r,,,,,_brownDark_g,,,_blue_,_blue_,,_blueDark_r,_blueDark_r,_brownDark_r,_brownDark_r,_brownDark_r,_blue_,,,,_blue_,_pink_,_brownDark_r,,,_blueDark_r,_blueDark_r,_blueDark_r,,,,,,,_blue_,_blueDark_r,_blueDark_r,_blue_,_blueDark_g,,
-3900,_brownDark_r,,_blue_,,,,,_pink_,_blue_,_blue_,,,,,,_blueDark_r,_blueDark_r,,,,,_blueDark_g,,,_blueDark_r,_blue_,,_brownDark_r,_blueDark_r,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,,,,_blueDark_r,_brownDark_r,_brownDark_r,,,_blueDark_g,_blueDark_r,_blue_,,,,,,,_blue_,_blueDark_r,_blue_,_blue_,_blue_,,
-3840,_brownDark_r,,_blueDark_r,,,,,_pink_,_blue_,_blueDark_r,,,,,,_blueDark_r,_blueDark_r,_blue_,,,,_brownDark_g,,,_brownDark_r,_blue_,,_blueDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,,,,_blue_,_brownDark_r,_brownDark_r,,,_blue_,_blueDark_r,_blue_,,,,,,,_blueDark_r,_blue_,_pink_,_blue_,_blueDark_g,,
-3780,_brownDark_r,,_blueDark_r,,,,,_pink_,_brownDark_r,_brown_r,,,,,,_blue_,_blueDark_r,_blueDark_r,,,,_pink_,,_blueDark_r,_brownDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,_brownDark_r,_blue_,,,,_blueDark_r,_brownDark_r,_blueDark_r,,,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_blue_,_blueDark_g,_blue_,_blue_,,
-3720,_brown_r,,_blue_,_blueDark_r,,,,_pink_,_brownDark_r,_blue_,,,,,,_blueDark_r,_blueDark_g,_blueDark_r,,,,_brownDark_g,,_blue_,_blue_,_blue_,_blue_,_blueDark_r,_blue_,_blueDark_r,_blue_,_blueDark_r,_brownDark_r,,,,_blue_,_brownDark_r,_blueDark_r,,,_blueDark_r,_pinkDark_,_blue_,,,,,,,_blueDark_r,_brownDark_r,_pink_,_blue_,_blue_,,
-3660,_brownDark_r,,_blue_,_blue_,,,,_brown_g,_blueDark_r,_brownDark_r,,,,,,_blue_,_blueDark_g,_blue_,,,,_brownDark_g,,_blueDark_r,_brownDark_r,_blueDark_r,_blue_,_brownDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blue_,,,,_blue_,_blue_,_blueDark_r,,,_blue_,_blue_,_blue_,,,,,,,_blueDark_r,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,,
-3600,_brownDark_r,,_blue_,_brownDark_r,,,,_pink_,_blueDark_r,_brownDark_r,,,,,,_blue_,_blue_,_blue_,,,,_brownDark_g,,_blueDark_r,_brownDark_r,_blue_,_blue_,_brownDark_r,_blue_,_blue_,_blueDark_g,_blueDark_r,_blue_,,,,_blue_,_blueDark_r,_blueDark_r,,,_blueDark_g,_blueDark_r,_blue_,,,,,,,_blueDark_r,_blueDark_r,_blueDark_r,_blue_,_blueDark_g,,
-3540,_blue_,,_blue_,_blueDark_r,,,,_pink_,_blueDark_r,_brownDark_r,,,,,,_blue_,_blue_,_blue_,,,,_brownDark_g,,_blue_,_blue_,_blueDark_r,_blue_,_brownDark_r,_blue_,_blue_,_brownDark_r,_blueDark_r,_blueDark_r,,,,_blue_,_blue_,_blueDark_r,,,_blue_,_blueDark_g,_blue_,,,,,,,_blueDark_r,_blueDark_r,_pink_,_blue_,_blue_,,
-3480,_brown_r,,_blue_,_brownDark_r,,,,_blueDark_r,_brown_r,_blueDark_r,,,,,,_blue_,_blueDark_r,_blue_,,,,_pink_,,_blue_,_blue_,_blueDark_r,_blue_,_brownDark_r,_blueDark_r,_brownDark_r,_blue_,_blueDark_r,_blue_,,,,_blue_,_blue_,_blueDark_r,,,_blueDark_r,_brownDark_r,_blue_,,,,,,,_blueDark_r,_blueDark_r,_brown_r,_blue_,_blue_,,
-3420,_blueDark_r,,_blueDark_r,_brownDark_r,,,,_brown_g,_brown_r,_blueDark_r,,,,,,_brown_r,_brownDark_g,_blue_,,,,_brown_g,,_blue_,_blueDark_r,_blueDark_r,_blue_,_brownDark_r,_blue_,_blue_,_blue_,_blueDark_r,_brownDark_r,,,,_blue_,_blue_,_blueDark_r,,,_pinkDark_,_brownDark_r,_blueDark_r,,,,,,,_blueDark_r,_blueDark_r,_brown_r,_blue_,_pink_,,
-3360,_pink_,,_pink_,_blueDark_r,,,,_brown_g,_brownDark_r,_blue_,,,,,,_blueDark_r,_blueDark_g,_brownDark_g,,,,_blueDark_r,,_blue_,_blue_,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,_blue_,_blue_,_blue_,_blue_,,,,_blue_,_brownDark_r,_blueDark_r,,,,_brownDark_r,_blueDark_r,,,,,,,_blue_,_brownDark_r,_brown_r,_blue_,_blueDark_r,,
-3300,_blue_,,_blueDark_r,_brownDark_r,,,,_blueDark_r,_blueDark_r,_blueDark_r,,,,,,_brownDark_r,_pink_,_blue_,,,,_pink_,,_blue_,_blue_,_blueDark_r,_blueDark_r,_brownDark_r,_blue_,_blue_,_blueDark_r,_blue_,_blue_,,,,_blue_,_brownDark_r,_blue_,,,,_blueDark_r,_blueDark_r,,,,,,,_blueDark_r,_brownDark_r,_pink_,_blue_,_blue_,,
